기간	자치구	합계	합계	살인	살인	강도	강도	강간강제추행	강간강제추행	절도	절도	폭력	폭력
기간	자치구	발생	검거	발생	검거	발생	검거	발생	검거	발생	검거	발생	검거
2014	합계	130,674	79,061	158	152	343	299	5,462	4,957	59,393	19,120	65,318	54,533
2014	종로구	5,021	4,610	3	7	12	15	226	948	2,272	1,281	2,508	2,359
2014	중구	5,231	3,188	6	5	13	13	221	161	2,576	887	2,415	2,122
2014	용산구	3,799	2,340	1	2	7	7	213	169	1,560	522	2,018	1,640
2014	성동구	3,582	2,048	1	1	5	6	141	103	1,753	529	1,682	1,409
2014	광진구	6,268	3,531	8	9	16	22	249	199	3,167	1,001	2,828	2,300
2014	동대문구	4,363	2,882	12	11	13	8	141	112	1,809	676	2,388	2,075
2014	중랑구	5,353	3,259	11	10	14	11	163	118	2,390	823	2,775	2,297
2014	성북구	4,606	3,028	8	5	16	20	165	128	2,130	935	2,287	1,940
2014	강북구	4,030	2,806	6	5	21	10	189	152	1,494	575	2,320	2,064
2014	도봉구	3,124	1,986	6	7	11	15	172	159	1,350	478	1,585	1,327
2014	노원구	5,312	3,300	5	4	8	7	173	136	2,404	803	2,722	2,350
2014	은평구	5,431	3,325	5	3	24	21	188	158	2,352	798	2,862	2,345
2014	서대문구	4,194	2,588	3	3	4	7	185	150	1,883	665	2,119	1,763
2014	마포구	5,740	3,136	4	4	22	9	265	218	2,763	742	2,686	2,163
2014	양천구	4,642	2,654	5	5	11	10	129	96	2,058	630	2,439	1,913
2014	강서구	5,289	3,225	8	6	9	9	214	179	2,341	734	2,717	2,297
2014	구로구	5,389	2,985	3	3	14	10	252	186	2,377	579	2,743	2,207
2014	금천구	3,842	2,434	7	7	9	6	162	133	1,552	496	2,112	1,792
2014	영등포구	7,003	4,072	14	15	10	5	250	183	3,080	892	3,649	2,977
2014	동작구	3,869	2,312	2	2	9	7	203	120	1,787	603	1,868	1,580
2014	관악구	6,781	3,701	7	8	25	22	361	238	3,029	784	3,359	2,649
2014	서초구	5,558	3,122	6	9	14	12	285	184	2,747	782	2,506	2,135
2014	강남구	8,851	5,262	13	9	37	29	512	403	3,895	1,193	4,394	3,628
2014	송파구	8,004	3,982	9	8	9	10	255	195	4,199	885	3,532	2,884
2014	강동구	5,392	3,285	5	4	10	8	148	129	2,425	827	2,804	2,317
